

***********    Page Summary   **************
run, id, name, date, time, page, OS name, OS version, browser name, browser version, duration, network, http Request, http response, build DOM, render, total resources, total resources size, total resources duration
Current Run,0,Amazon Home,2022-08-08,16:29:53,https://www.amazon.com/,WINDOWS,10,Chrome,104,3789,42,201,114,1423,2008,49,464062,24822.700000000652
Base Run,0,Amazon Home,2022-08-07,14:00:13,https://www.amazon.com/,WINDOWS,10,Chrome,104,3314,913,534,279,1506,68,300,2971487,102422.0

***********    Page Type Diff Analysis   **************
type, items, size, duration, comparison result
https://images-na.ssl-images-amazon.com/images/I/41eq6TUPp-L.js?AUIClients/CardJsRuntimeBuzzCopyBuild,script,9137,54.299999999813735,new
https://www.amazon.com/favicon.ico,other,-11,-201.70000000018626,found match
https://fls-na.amazon.com/1/batch/1/OP/ATVPDKIKX0DER:000-0000000-0000000:GA1XKWN8C36HWZG2CZEE$uedata=s:%2Frd%2Fuedata%3Fld%26v%3D0.215061.0%26id%3DGA1XKWN8C36HWZG2CZEE%26ctb%3D1%26sc0%3DgwLayoutReady%26cf0%3D3507%26pc0%3D3507%26ld0%3D3507%26t0%3D1659956392519%26pty%3DGateway%26spty%3Ddesktop%26pti%3Ddesktop%26tid%3DGA1XKWN8C36HWZG2CZEE%26aftb%3D1:3507,img,0,229.39999999990687,new
https://www.amazon.com/gp/product/sessionCacheUpdateHandler.html,xmlhttprequest,0,-265.0999999998603,found match
https://images-na.ssl-images-amazon.com/images/G/01/kindle/merch/2019/4852331/Gateway-TallHero-1500x600._CB413504635_.jpg,xmlhttprequest,0,33.3000000002794,new
https://images-na.ssl-images-amazon.com/images/G/01/PLF/Daily_Ritual/2020/SPRING-DRIVERS/DAILY-RITUAL-COTTON-PUFF-SLEEVE_DT_CC_379x304_1x._SY304_CB410865121_.jpg,xmlhttprequest,0,30.0,new
https://images-na.ssl-images-amazon.com/images/G/01/xba/GD_US_E_July_2020_379x304._SY304_CB429362087_.jpg,xmlhttprequest,0,29.600000000093132,new
https://images-na.ssl-images-amazon.com/images/G/01/AMAZON_FASHION/2020/journeys/NTE3Zjc1NTEt/NTE3Zjc1NTEt-ZWVhMjc2YjAt-w186._SY116_CB410473316_.jpg,xmlhttprequest,0,23.800000000279397,new
https://images-na.ssl-images-amazon.com/images/G/01/AMAZON_FASHION/2020/journeys/NTE3Zjc1NTEt/NTE3Zjc1NTEt-N2IwYmQwNGIt-w186._SY116_CB428347147_.jpg,xmlhttprequest,0,23.5,new
https://images-na.ssl-images-amazon.com/images/G/01/AMAZON_FASHION/2020/journeys/NTE3Zjc1NTEt/NTE3Zjc1NTEt-MzBhMzU0M2Mt-w186._SY116_CB428347144_.jpg,xmlhttprequest,0,23.299999999813735,new
https://images-na.ssl-images-amazon.com/images/G/01/AMAZON_FASHION/2020/journeys/NTE3Zjc1NTEt/NTE3Zjc1NTEt-YjliNzM1M2Mt-w186._SY116_CB428347147_.jpg,xmlhttprequest,0,22.5,new
https://m.media-amazon.com/images/S/sash/KFPk-9IF4FqAqY-.woff2,css,0,-531.2999999998137,found match
https://m.media-amazon.com/images/S/sash/WOnTLzkiaEccV7F.woff2,css,0,-538.4000000001397,found match
https://m.media-amazon.com/images/S/sash/2SazJx_EeTHfhMN.woff2,css,17748,75.20000000018626,new
https://fls-na.amazon.com/1/batch/1/OP/ATVPDKIKX0DER:000-0000000-0000000:GA1XKWN8C36HWZG2CZEE$uedata=s:%2Frd%2Fuedata%3Fld%26v%3D0.215061.0%26id%3DGA1XKWN8C36HWZG2CZEE%26ctb%3D1%26sc0%3DgwAUIReady%26cf0%3D3568%26pc0%3D3568%26ld0%3D3568%26t0%3D1659956392580%26pty%3DGateway%26spty%3Ddesktop%26pti%3Ddesktop%26tid%3DGA1XKWN8C36HWZG2CZEE%26aftb%3D1:3568,img,0,178.5,new
https://fls-na.amazon.com/1/batch/1/OP/ATVPDKIKX0DER:000-0000000-0000000:GA1XKWN8C36HWZG2CZEE$uedata=s:%2Frd%2Fuedata%3Fld%26v%3D0.215061.0%26id%3DGA1XKWN8C36HWZG2CZEE%26ctb%3D1%26sc0%3Dgw-hero-btf-populate%26cf0%3D3661%26pc0%3D3661%26ld0%3D3661%26t0%3D1659956392673%26csmtags%3Daui%3Asw%3Abrowser%3Aunregister%3Asupported%26pty%3DGateway%26spty%3Ddesktop%26pti%3Ddesktop%26tid%3DGA1XKWN8C36HWZG2CZEE%26aftb%3D1:3661,img,0,132.5,new
https://fls-na.amazon.com/1/batch/1/OE/,beacon,0,97.60000000009313,new
